IP,Puerto,Servicio,Nivel de Riesgo,Descripcion,Mitigacion
10.13.4.105,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.105,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.105,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.115,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.115,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.115,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.123,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.123,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.123,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.128,1309,jtag-server,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
,,,,,
10.13.4.130,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.130,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.130,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.131,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.131,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.131,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.141,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.141,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.141,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
10.13.4.141,903,iss-console-mgr,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.141,913,apex-edge,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
,,,,,
10.13.4.146,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.146,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.146,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
10.13.4.146,902,iss-realsecure,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.146,912,apex-mesh,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.146,1309,jtag-server,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
,,,,,
10.13.4.156,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.156,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.156,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
10.13.4.156,902,iss-realsecure,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.156,912,apex-mesh,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
,,,,,
10.13.4.162,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.162,137,netbios-ns,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.162,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.162,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.164,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.164,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.164,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
10.13.4.164,1309,jtag-server,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
,,,,,
10.13.4.174,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.174,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.174,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
,,,,,
10.13.4.188,135,msrpc,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
10.13.4.188,139,netbios-ssn,Medio,NetBIOS puede exponer información sobre la red y los dispositivos conectados.,Limitar acceso de NetBIOS en redes no seguras.
10.13.4.188,445,microsoft-ds,Bajo,Microsoft-DS permite compartir archivos y puede ser vulnerable en redes abiertas.,Restringir acceso a puertos 445 en redes públicas.
10.13.4.188,1309,jtag-server,Bajo,No se encontraron vulnerabilidades especificas.,Actualizar servicios y cerrar puertos innecesarios.
